№ з/п,Код за ЄДРПОУ балансоутримувача,Повне найменування балансоутримувача,Місцезнаходження балансоутримувача,Код суб'єкта управління майном,Назва суб'єкта управління майном,"Кількість нерухомого державного майна (будівель та споруд), крім майна, розташованого на території АР Крим тв м. Севастополя"
7616,02360412,ГОЛОВНЕ УПРАВЛІННЯ СТАТИСТИКИ У ЖИТОМИРСЬКІЙ ОБЛАСТІ,"10003 М.ЖИТОМИР, БОГУНСЬКИЙ Р-Н, ВУЛ.МИКОЛИ СЦІБОРСЬКОГО, БУД. 6-А",28954,ДЕРЖАВНА СЛУЖБА СТАТИСТИКИ УКРАЇНИ,4
7617,02360464,ГОЛОВНЕ УПРАВЛІННЯ СТАТИСТИКИ У ЗАКАРПАТСЬКІЙ ОБЛАСТІ,"88000 М.УЖГОРОД, ВУЛ.ЮРІЯ ГОЙДИ, БУД. 11",28954,ДЕРЖАВНА СЛУЖБА СТАТИСТИКИ УКРАЇНИ,5
7618,02360576,ГОЛОВНЕ УПРАВЛІННЯ СТАТИСТИКИ У ЗАПОРІЗЬКІЙ ОБЛАСТІ,"69002 М.ЗАПОРІЖЖЯ, ОЛЕКСАНДРІВСЬКИЙ Р-Н, ПРОСП.СОБОРНИЙ, БУД. 75",28954,ДЕРЖАВНА СЛУЖБА СТАТИСТИКИ УКРАЇНИ,13
7619,02360599,ГОЛОВНЕ УПРАВЛІННЯ СТАТИСТИКИ В ІВАНО-ФРАНКІВСЬКІЙ ОБЛАСТІ,"76018 М.ІВАНО-ФРАНКІВСЬК, ВУЛ.ВАСИЛІЯНОК, БУД. 6",28954,ДЕРЖАВНА СЛУЖБА СТАТИСТИКИ УКРАЇНИ,11
7620,02363072,ГОЛОВНЕ УПРАВЛІННЯ СТАТИСТИКИ У ЧЕРНІГІВСЬКІЙ ОБЛАСТІ,"14000 М.ЧЕРНІГІВ, ДЕСНЯНСЬКИЙ Р-Н, ВУЛ.ГОНЧА, БУД. 37",28954,ДЕРЖАВНА СЛУЖБА СТАТИСТИКИ УКРАЇНИ,5
7621,02360926,ГОЛОВНЕ УПРАВЛІННЯ СТАТИСТИКИ У КІРОВОГРАДСЬКІЙ ОБЛАСТІ,"25009 М.КРОПИВНИЦЬКИЙ, ФОРТЕЧНИЙ Р-Н, ВУЛ.СОБОРНА, БУД. 7 А",28954,ДЕРЖАВНА СЛУЖБА СТАТИСТИКИ УКРАЇНИ,13
7622,02361400,ГОЛОВНЕ УПРАВЛІННЯ СТАТИСТИКИ У ЛЬВІВСЬКІЙ ОБЛАСТІ,"79058 М.ЛЬВІВ, ГАЛИЦЬКИЙ Р-Н, ПРОСП.В'ЯЧЕСЛАВА ЧОРНОВОЛА, БУД. 4",28954,ДЕРЖАВНА СЛУЖБА СТАТИСТИКИ УКРАЇНИ,5
7623,02359662,ГОЛОВНЕ УПРАВЛІННЯ СТАТИСТИКИ У ВОЛИНСЬКІЙ ОБЛАСТІ,"43025 М.ЛУЦЬК, ВУЛ.ШОПЕНА, БУД. 12",28954,ДЕРЖАВНА СЛУЖБА СТАТИСТИКИ УКРАЇНИ,1
7624,02359395,ГОЛОВНЕ УПРАВЛІННЯ СТАТИСТИКИ У ВІННИЦЬКІЙ ОБЛАСТІ,"21100 М.ВІННИЦЯ, ВУЛ.ХМЕЛЬНИЦЬКЕ ШОСЕ, БУД. 15",28954,ДЕРЖАВНА СЛУЖБА СТАТИСТИКИ УКРАЇНИ,5
7625,02363095,ГОЛОВНЕ УПРАВЛІННЯ СТАТИСТИКИ У М.КИЄВІ,"4053 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛ.ТУРГЕНЄВСЬКА, БУД. 71",28954,ДЕРЖАВНА СЛУЖБА СТАТИСТИКИ УКРАЇНИ,1
7626,33947225,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЕКСПЛУАТАЦІЙНО-МАЙНОВЕ УПРАВЛІННЯ""","4050 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ БІЛОРУСЬКА, 24",29014,ДЕРЖАВНА СЛУЖБА ФІНАНСОВОГО МОНІТОРИНГУ УКРАЇНИ,1
7627,14309830,"ДЕРЖАВНЕ ПІДПРИЄМСТВО НАУКОВО-ДОСЛІДНИЙ І ПРОЕКТНИЙ ІНСТИТУТ ""СОЮЗ""","61124 М.ХАРКІВ, ОСНОВ'ЯНСЬКИЙ Р-Н, ПРОСП.ГАГАРІНА, БУД. 168",30524,ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,2
7628,14309669,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВИРОБНИЧЕ ОБ'ЄДНАННЯ ""КИЇВПРИЛАД""","3680 М.КИЇВ, СОЛОМ'ЯНСЬКИЙ Р-Н, ВУЛ.ГАРМАТНА, БУД. 2",30524,ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,258
7629,24228794,НАЦІОНАЛЬНИЙ ЦЕНТР АЕРОКОСМІЧНОЇ ОСВІТИ МОЛОДІ ІМЕНІ О.М.МАКАРОВА,"49005 М.ДНІПРО, СОБОРНИЙ Р-Н, ПРОСП.ГАГАРІНА, БУД. 26",30524,ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,3
7630,14308262,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХАРКІВСЬКИЙ ЗАВОД ЕЛЕКТРОАПАРАТУРИ""","61139 М.ХАРКІВ, ХОЛОДНОГІРСЬКИЙ Р-Н, ВУЛ.ЛОЗІВСЬКА, БУД. 5",30524,ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,59
7631,00041482,ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,"1010 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, ВУЛ.МОСКОВСЬКА, БУД. 8, КОРП. 30",30524,ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,1
7632,14313369,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДНІПРОВСЬКИЙ ПРОЕКТНИЙ ІНСТИТУТ""","49008 М.ДНІПРО, ЧЕЧЕЛІВСЬКИЙ Р-Н, ВУЛ.ТЕАТРАЛЬНА, БУД. 6",30524,ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,18
7633,14308368,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВИРОБНИЧЕ ОБ'ЄДНАННЯ ПІВДЕННИЙ МАШИНОБУДІВНИЙ ЗАВОД ІМЕНІ О. М. МАКАРОВА""","49008 М.ДНІПРО, ЧЕЧЕЛІВСЬКИЙ Р-Н, ВУЛ.КРИВОРІЗЬКА, БУД. 1",30524,ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,2283
7634,14308730,"ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ОБ'ЄДНАННЯ КОМУНАР""","61070 М.ХАРКІВ, КИЇВСЬКИЙ Р-Н, ВУЛ.РУДИКА, БУД. 8",30524,ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,405
7635,24381357,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРКОСМОС""","1024 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, ВУЛ.ЛЮТЕРАНСЬКА, БУД. 20, ОФ. 210",30524,ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,1
7636,24507442,НАЦІОНАЛЬНИЙ ЦЕНТР УПРАВЛІННЯ ТА ВИПРОБУВАНЬ КОСМІЧНИХ ЗАСОБІВ,"1010 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, ВУЛ.МОСКОВСЬКА, БУД. 8",30524,ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,733
7637,14310589,ДЕРЖАВНЕ ПІДПРИЄМСТВО НАУКОВО-ДОСЛІДНИЙ ТЕХНОЛОГІЧНИЙ ІНСТИТУТ ПРИЛАДОБУДУВАННЯ,"61010 М.ХАРКІВ, НОВОБАВАРСЬКИЙ Р-Н, ВУЛ.КАТЕРИНИНСЬКА, БУД. 40/42",30524,ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,21
7638,14308304,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КОНСТРУКТОРСЬКЕ БЮРО ""ПІВДЕННЕ"" ІМ. М.К.ЯНГЕЛЯ""","49008 М.ДНІПРО, ЧЕЧЕЛІВСЬКИЙ Р-Н, ВУЛ.КРИВОРІЗЬКА, БУД. 3",30524,ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,466
7639,14310520,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ЗАВОД ""АРСЕНАЛ""","1010 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, ВУЛ.МОСКОВСЬКА, БУД. 8",30524,ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,240
7640,14307357,"КАЗЕННЕ ПІДПРИЄМСТВО СПЕЦІАЛЬНОГО ПРИЛАДОБУДУВАННЯ ""АРСЕНАЛ""","1010 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, ВУЛ.МОСКОВСЬКА, БУД. 8",30524,ДЕРЖАВНЕ КОСМІЧНЕ АГЕНТСТВО УКРАЇНИ,369
7641,40381452,НАЦІОНАЛЬНЕ АГЕНТСТВО З ПИТАНЬ ЗАПОБІГАННЯ КОРУПЦІЇ,"1103 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, БУЛЬВАР ДРУЖБИ НАРОДІВ, БУД. 28",31048,НАЦІОНАЛЬНЕ АГЕНТСТВО З ПИТАНЬ ЗАПОБІГАННЯ КОРУПЦІЇ,1
7642,37552975,ДЕРЖАВНЕ АГЕНТСТВО ЕКОЛОГІЧНИХ ІНВЕСТИЦІЙ УКРАЇНИ,"3035 М.КИЇВ, СОЛОМ'ЯНСЬКИЙ Р-Н, ВУЛИЦЯ МИТРОПОЛИТА ЛИПКІВСЬКОГО, 35",31076,ДЕРЖАВНЕ АГЕНТСТВО ЕКОЛОГІЧНИХ ІНВЕСТИЦІЙ УКРАЇНИ,3
7643,31115684,УКРАЇНСЬКА ШКОЛА УРЯДУВАННЯ,"3061 М.КИЇВ, СОЛОМ'ЯНСЬКИЙ Р-Н, ВУЛ.МИКОЛИ ШЕПЕЛЄВА, БУД. 3",33164,НАЦІОНАЛЬНЕ АГЕНТСТВО УКРАЇНИ З ПИТАНЬ ДЕРЖАВНОЇ СЛУЖБИ ,54
7644,37819430,НАЦІОНАЛЬНЕ АГЕНТСТВО УКРАЇНИ З ПИТАНЬ ДЕРЖАВНОЇ СЛУЖБИ,"1601 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛ.ПРОРІЗНА, БУД. 15",33164,НАЦІОНАЛЬНЕ АГЕНТСТВО УКРАЇНИ З ПИТАНЬ ДЕРЖАВНОЇ СЛУЖБИ ,1
7645,38770852,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЦЕНТР ОРГАНІЗАЦІЙНО-ТЕХНІЧНОГО І ІНФОРМАЦІЙНОГО ЗАБЕЗПЕЧЕННЯ УПРАВЛІННЯ ЗОНОЮ ВІДЧУЖЕННЯ""","7270 КИЇВСЬКА ОБЛ., ІВАНКІВСЬКИЙ Р-Н, М.ЧОРНОБИЛЬ, ВУЛ.КАРЛА ЛІБКНЕХТА, БУД. 10",34135,ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З УПРАВЛІННЯ ЗОНОЮ ВІДЧУЖЕННЯ,40
7646,41246328,ЧОРНОБИЛЬСЬКИЙ РАДІАЦІЙНО-ЕКОЛОГІЧНИЙ БІОСФЕРНИЙ ЗАПОВІДНИК,"7201 КИЇВСЬКА ОБЛ., ІВАНКІВСЬКИЙ Р-Н, СМТ ІВАНКІВ, ВУЛ.ТОЛОЧИНА, БУД. 28",34135,ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З УПРАВЛІННЯ ЗОНОЮ ВІДЧУЖЕННЯ,18
7647,37197102,"ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ ПІДПРИЄМСТВО ""ЦЕНТРАЛЬНЕ ПІДПРИЄМСТВО З ПОВОДЖЕННЯ З РАДІОАКТИВНИМИ ВІДХОДАМИ""","7270 КИЇВСЬКА ОБЛ., ІВАНКІВСЬКИЙ Р-Н, М.ЧОРНОБИЛЬ, ВУЛ.КІРОВА, БУД. 52",34135,ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З УПРАВЛІННЯ ЗОНОЮ ВІДЧУЖЕННЯ,454
7648,20366944,"ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ ПІДПРИЄМСТВО ""ДОНЕЦЬКИЙ ДЕРЖАВНИЙ СПЕЦІАЛЬНИЙ КОМБІНАТ""","83077 М.ДОНЕЦЬК, КУЙБИШЕВСЬКИЙ Р-Н, ВУЛ.ШАХТАРСЬКОЇ СЛАВИ, БУД. 2",34135,ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З УПРАВЛІННЯ ЗОНОЮ ВІДЧУЖЕННЯ,9
7649,19090572,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР ДЕЗАКТИВАЦІЇ ТА КОМПЛЕКСНОГО ПОВОДЖЕННЯ З РАДІОАКТИВНИМИ ВІДХОДАМИ, РЕЧОВИНАМИ, ДЖЕРЕЛАМИ ІОНІЗУЮЧОГО ВИПРОМІНЮВАННЯ""","52204 ДНІПРОПЕТРОВСЬКА ОБЛ., М.ЖОВТІ ВОДИ, БУЛ.СВОБОДИ, БУД. 37 К",34135,ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З УПРАВЛІННЯ ЗОНОЮ ВІДЧУЖЕННЯ,5
7650,43068161,"ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ ПІДПРИЄМСТВО ""ОБ'ЄДНАННЯ ""РАДОН""","3083 М.КИЇВ, ГОЛОСІЇВСЬКИЙ Р-Н, ПИРОГІВСЬКИЙ ШЛЯХ, БУД. 50",34135,ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З УПРАВЛІННЯ ЗОНОЮ ВІДЧУЖЕННЯ,202
7651,31282967,ДЕРЖАВНИЙ НАУКОВИЙ ЦЕНТР ЗАХИСТУ КУЛЬТУРНОЇ СПАДЩИНИ ВІД ТЕХНОГЕННИХ КАТАСТРОФ,"3057 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ПРОСП.ПЕРЕМОГИ, БУД. 56",34135,ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З УПРАВЛІННЯ ЗОНОЮ ВІДЧУЖЕННЯ,1
7652,21656124,"ДЕРЖАВНА НАУКОВО-ДОСЛІДНА УСТАНОВА ""ЧОРНОБИЛЬСЬКИЙ ЦЕНТР З ПРОБЛЕМ ЯДЕРНОЇ БЕЗПЕКИ, РАДІОАКТИВНИХ ВІДХОДІВ ТА РАДІОЕКОЛОГІЇ""","7100 КИЇВСЬКА ОБЛ., М.СЛАВУТИЧ, ВУЛИЦЯ 77 ГВАРДІЙСЬКОЇ ДИВІЗІЇ, 11",34135,ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З УПРАВЛІННЯ ЗОНОЮ ВІДЧУЖЕННЯ,2
7653,14310862,"ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ ПІДПРИЄМСТВО ""ЧОРНОБИЛЬСЬКА АЕС""","7100 КИЇВСЬКА ОБЛ., М.СЛАВУТИЧ, ВУЛ.77-Ї ГВАРДІЙСЬКОЇ ДИВІЗІЇ, БУД. 7/1",34135,ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З УПРАВЛІННЯ ЗОНОЮ ВІДЧУЖЕННЯ,417
7654,40247540,"ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ ПІДПРИЄМСТВО ""ПІВНІЧНА ПУЩА""","7270 КИЇВСЬКА ОБЛ., ІВАНКІВСЬКИЙ Р-Н, М.ЧОРНОБИЛЬ, ВУЛ.ЛЕНІНА, БУД. 148",34135,ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З УПРАВЛІННЯ ЗОНОЮ ВІДЧУЖЕННЯ,128
7655,40248151,"ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ ПІДПРИЄМСТВО ""ЕКОЦЕНТР""","7270 КИЇВСЬКА ОБЛ., ІВАНКІВСЬКИЙ Р-Н, М.ЧОРНОБИЛЬ, ВУЛ.ШКІЛЬНА, БУД. 6",34135,ДЕРЖАВНЕ АГЕНТСТВО УКРАЇНИ З УПРАВЛІННЯ ЗОНОЮ ВІДЧУЖЕННЯ,114
7656,20947701,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХЛІБНА БАЗА №77"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","67200 ОДЕСЬКА ОБЛ., ІВАНІВСЬКИЙ Р-Н, СМТ ІВАНІВКА",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,60
7657,14373207,"ДЕРЖАВНА ОРГАНІЗАЦІЯ КОМБІНАТ ""ПРОГРЕС"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","3126 М.КИЇВ, СОЛОМ'ЯНСЬКИЙ Р-Н, БУЛЬВАР ВАЦЛАВА ГАВЕЛА, БУД. 24",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,80
7658,20885124,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХЛІБНА БАЗА №76"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","55310 МИКОЛАЇВСЬКА ОБЛ., АРБУЗИНСЬКИЙ Р-Н, С-ЩЕ КАВУНИ, ВУЛ.ЕЛЕВАТОРНА, БУД. 10",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,201
7659,14373236,"ДЕРЖАВНА ОРГАНІЗАЦІЯ КОМБІНАТ ""НОВИЙ""","85747 ДОНЕЦЬКА ОБЛ., М.ДОКУЧАЄВСЬК",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,112
7660,00956187,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЧОРТКІВСЬКИЙ КОМБІНАТ ХЛІБОПРОДУКТІВ "" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","48500 ТЕРНОПІЛЬСЬКА ОБЛ., М.ЧОРТКІВ, ВУЛ.БІЛЕЦЬКА, БУД. 2-А",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,70
7661,14373242,"ДЕРЖАВНА ОРГАНІЗАЦІЯ ""КОМБІНАТ ""ДНІПРО"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","20704 ЧЕРКАСЬКА ОБЛ., М.СМІЛА, ВУЛИЦЯ ІВАНА ФРАНКА, 18",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,60
7662,14373331,"ДЕРЖАВНА ОРГАНІЗАЦІЯ ""КОМБІНАТ""ЕСТАФЕТА""","30069 ХМЕЛЬНИЦЬКА ОБЛ., СЛАВУТСЬКИЙ Р-Н, С.СТРИГАНИ, ВУЛ.Г.ОХМАН, БУД. 3А",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,45
7663,14373213,"ДЕРЖАВНА ОРГАНІЗАЦІЯ ""КОМБІНАТ ""СВІТАНОК"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","61140 М.ХАРКІВ, СЛОБІДСЬКИЙ Р-Н, ВУЛ.ПОЛЬОВА, БУД. 87",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,96
7664,14373288,"ДЕРЖАВНА ОРГАНІЗАЦІЯ ""КОМБІНАТ ""ТРИКУТНИК"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","25015 М.КРОПИВНИЦЬКИЙ, ЛЕНІНСЬКИЙ Р-Н, ВУЛИЦЯ ЄВГЕНА МАЛАНЮКА, 3",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,30
7665,14373220,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КОМБІНАТ ""САЛЮТ"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","49074 М.ДНІПРО, ІНДУСТРІАЛЬНИЙ Р-Н, ВУЛ.ЗАПАСНА, БУД. 7",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,55
7666,14373259,"ДЕРЖАВНА ОРГАНІЗАЦІЯ ""КОМБІНАТ ""АЙСТРА"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","14001 М.ЧЕРНІГІВ, НОВОЗАВОДСЬКИЙ Р-Н, ВУЛИЦЯ ЧУДИНОВА,",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,130
7667,00956031,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ОХТИРСЬКИЙ КОМБІНАТ ХЛІБОПРОДУКТІВ ""ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","42700 СУМСЬКА ОБЛ., М.ОХТИРКА, ВУЛ.АРМІЙСЬКА, БУД. 11",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,310
7668,14373271,"ДЕРЖАВНА ОРГАНІЗАЦІЯ ""КОМБІНАТ ""ЗІРКА""","69067 М.ЗАПОРІЖЖЯ, ЗАВОДСЬКИЙ Р-Н, ВУЛИЦЯ РЕСПУБЛІКАНСЬКА, 127",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,156
7669,14373265,"ДЕРЖАВНА ОРГАНІЗАЦІЯ ""КОМБІНАТ ""ПЛАНЕТА"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","63021 ХАРКІВСЬКА ОБЛ., ВАЛКІВСЬКИЙ Р-Н, СМТ КОВ'ЯГИ, ВУЛИЦЯ ГАГАРІНА, 13",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,91
7670,14373176,"ДЕРЖАВНА ОРГАНІЗАЦІЯ ""КОМБІНАТ ""РЕКОРД""","10028 М.ЖИТОМИР, БОГУНСЬКИЙ Р-Н, ВУЛИЦЯ МАКСЮТОВА, 281",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,139
7671,05519327,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КУЛІНДОРІВСЬКИЙ КОМБІНАТ ХЛІБОПРОДУКТІВ"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","65025 М.ОДЕСА, СУВОРОВСЬКИЙ Р-Н, ПРОМВУЗОЛ КУЛІНДОРОВСЬКИЙ",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,97
7672,14373294,"ДЕРЖАВНА ОРГАНІЗАЦІЯ ""КОМБІНАТ ТРОЯНДА""","81750 ЛЬВІВСЬКА ОБЛ., ЖИДАЧІВСЬКИЙ Р-Н, М.ХОДОРІВ, ВУЛИЦЯ ШЕВЧЕНКА, 165",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,29
7673,00951862,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КІРОВОГРАДСЬКИЙ КОМБІНАТ ХЛІБОПРОДУКТІВ №2"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","25014 М.КРОПИВНИЦЬКИЙ, ФОРТЕЧНИЙ Р-Н, ПРОСП.ІНЖЕНЕРІВ, БУД. 2",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,103
7674,00952545,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЗЛАТОДАР""","19700 ЧЕРКАСЬКА ОБЛ., М.ЗОЛОТОНОША, ВУЛИЦЯ ШЕВЧЕНКА, 47",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,269
7675,22675081,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХЛІБНА БАЗА №85"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","64703 ХАРКІВСЬКА ОБЛ., БАРВІНКІВСЬКИЙ Р-Н, М.БАРВІНКОВЕ, ВУЛ.КИЇВСЬКА, БУД. 2",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,33
7676,20204928,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХЛІБНА БАЗА №73"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","53250 ДНІПРОПЕТРОВСЬКА ОБЛ., НІКОПОЛЬСЬКИЙ Р-Н, С.ПАВЛОПІЛЛЯ, ВУЛ.40 РОКІВ ПЕРЕМОГИ, БУД. 64",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,106
7677,30433226,"ДЕРЖАВНА ОРГАНІЗАЦІЯ ""УКРПРОДКОНТРАКТ"" ДЕРЖАВНОГО АГЕНСТВА РЕЗЕРВУ УКРАЇНИ","89435 ЗАКАРПАТСЬКА ОБЛ., УЖГОРОДСЬКИЙ Р-Н, С.КІНЧЕШ,  МКР-Н БАЗИ №9",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,13
7678,00276044,"УКРАЇНСЬКИЙ ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ""РЕСУРС""","3150 М.КИЇВ, ГОЛОСІЇВСЬКИЙ Р-Н, ВУЛИЦЯ КАЗИМИРА МАЛЕВИЧА, 84",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,14
7679,00952769,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РОВЕНЬКІВСЬКИЙ КОМБІНАТ ХЛІБОПРОДУКТІВ"" ДЕРЖАВНОГО АГЕНТСТВА РЕЗЕРВУ УКРАЇНИ","94701 ЛУГАНСЬКА ОБЛ., М.РОВЕНЬКИ, ВУЛ.ЕНГЕЛЬСА, БУД. 7",34604,ДЕРЖАВНЕ АГЕНТСТВО РЕЗЕРВУ УКРАЇНИ,58
